time	V(vi)	V(vo)
4.571337071531488e-02	-4.333657e-01	-1.300507e+01
4.590868321531488e-02	-5.404253e-01	-1.300505e+01
4.610399571531489e-02	-6.393564e-01	-1.300504e+01
4.629930821531489e-02	-7.286710e-01	-1.300502e+01
4.649462071531489e-02	-8.070257e-01	-1.300501e+01
4.668993321531489e-02	-8.732420e-01	-1.300500e+01
4.688524571531490e-02	-9.263240e-01	-1.300499e+01
4.708055821531490e-02	-9.654731e-01	-1.300496e+01
4.727587071531490e-02	-9.901006e-01	-1.300490e+01
4.747118321531490e-02	-9.998361e-01	-1.300486e+01
4.766649571531491e-02	-9.945331e-01	-1.300489e+01
4.786180821531491e-02	-9.742714e-01	-1.300494e+01
4.805712071531491e-02	-9.393558e-01	-1.300498e+01
4.825243321531492e-02	-8.903114e-01	-1.300500e+01
4.844774571531492e-02	-8.278759e-01	-1.300501e+01
4.864305821531492e-02	-7.529883e-01	-1.300502e+01
4.883837071531492e-02	-6.667752e-01	-1.300503e+01
4.903368321531493e-02	-5.705330e-01	-1.300505e+01
4.922899571531493e-02	-4.657096e-01	-1.300506e+01
4.942430821531493e-02	-3.538814e-01	-1.300508e+01
4.961962071531494e-02	-2.367305e-01	-1.300509e+01
4.981493321531494e-02	-1.160190e-01	-1.300511e+01
5.001024571531494e-02	6.437528e-03	-1.300513e+01
5.020555821531494e-02	1.287972e-01	-1.300514e+01
5.040087071531495e-02	2.492197e-01	-1.300516e+01
5.059618321531495e-02	3.658938e-01	-1.300517e+01
5.079149571531495e-02	4.770644e-01	-1.300519e+01
5.098680821531495e-02	5.810595e-01	-1.300520e+01
5.118212071531496e-02	6.763149e-01	-1.300522e+01
5.137743321531496e-02	7.613980e-01	-1.300523e+01
5.157274571531496e-02	8.350289e-01	-1.300524e+01
5.176805821531497e-02	8.961002e-01	-1.300525e+01
5.196337071531497e-02	9.436933e-01	-1.300525e+01
5.215868321531497e-02	9.770924e-01	-1.300526e+01
5.235399571531497e-02	9.957951e-01	-1.300526e+01
5.254930821531498e-02	9.995201e-01	-1.300526e+01
5.274462071531498e-02	9.882115e-01	-1.300526e+01
5.293993321531498e-02	9.620391e-01	-1.300525e+01
5.313524571531499e-02	9.213969e-01	-1.300525e+01
5.333055821531499e-02	8.668959e-01	-1.300524e+01
5.352587071531499e-02	7.993560e-01	-1.300523e+01
5.372118321531499e-02	7.197931e-01	-1.300522e+01
5.391649571531500e-02	6.294039e-01	-1.300521e+01
5.411180821531500e-02	5.295478e-01	-1.300520e+01
5.430712071531500e-02	4.217268e-01	-1.300518e+01
5.450243321531500e-02	3.075626e-01	-1.300517e+01
5.469774571531501e-02	1.887724e-01	-1.300515e+01
5.489305821531501e-02	6.714296e-02	-1.300513e+01
5.508837071531501e-02	-5.549643e-02	-1.300512e+01
5.528368321531502e-02	-1.773011e-01	-1.300510e+01
5.547899571531502e-02	-2.964390e-01	-1.300508e+01
5.567430821531502e-02	-4.111182e-01	-1.300507e+01
5.586962071531502e-02	-5.196137e-01	-1.300505e+01
5.606493321531503e-02	-6.202939e-01	-1.300504e+01
5.626024571531503e-02	-7.116442e-01	-1.300503e+01
5.645555821531503e-02	-7.922907e-01	-1.300502e+01
5.665087071531504e-02	-8.610204e-01	-1.300501e+01
5.684618321531504e-02	-9.167995e-01	-1.300499e+01
5.704149571531504e-02	-9.587892e-01	-1.300497e+01
5.723680821531504e-02	-9.863578e-01	-1.300491e+01
5.743212071531505e-02	-9.990906e-01	-1.300487e+01
5.762743321531505e-02	-9.967962e-01	-1.300488e+01
5.782274571531505e-02	-9.795091e-01	-1.300493e+01
5.801805821531505e-02	-9.474891e-01	-1.300498e+01
5.821337071531506e-02	-9.012182e-01	-1.300500e+01
5.840868321531506e-02	-8.413920e-01	-1.300501e+01
5.860399571531506e-02	-7.689105e-01	-1.300502e+01
5.879930821531507e-02	-6.848639e-01	-1.300503e+01
5.899462071531507e-02	-5.905163e-01	-1.300504e+01
5.918993321531507e-02	-4.872868e-01	-1.300506e+01
5.938524571531507e-02	-3.767280e-01	-1.300507e+01
5.958055821531508e-02	-2.605029e-01	-1.300509e+01
5.977587071531508e-02	-1.403596e-01	-1.300511e+01
5.997118321531508e-02	-1.810513e-02	-1.300512e+01
6.016649571531509e-02	1.044216e-01	-1.300514e+01
6.036180821531509e-02	2.253778e-01	-1.300515e+01
6.055712071531509e-02	3.429441e-01	-1.300517e+01
6.075243321531509e-02	4.553522e-01	-1.300519e+01
6.094774571531510e-02	5.609114e-01	-1.300520e+01
6.114305821531510e-02	6.580338e-01	-1.300521e+01
6.133837071531510e-02	7.452589e-01	-1.300523e+01
6.153368321531510e-02	8.212746e-01	-1.300524e+01
6.172899571531511e-02	8.849376e-01	-1.300524e+01
6.192430821531511e-02	9.352903e-01	-1.300525e+01
6.211962071531511e-02	9.715753e-01	-1.300526e+01
6.231493321531512e-02	9.932470e-01	-1.300526e+01
6.251024571531512e-02	9.999793e-01	-1.300526e+01
6.270555821531511e-02	9.916710e-01	-1.300526e+01
6.290087071531510e-02	9.684470e-01	-1.300526e+01
6.309618321531509e-02	9.306566e-01	-1.300525e+01
6.329149571531507e-02	8.788683e-01	-1.300524e+01
6.348680821531506e-02	8.138611e-01	-1.300523e+01
6.368212071531505e-02	7.366126e-01	-1.300522e+01
6.387743321531504e-02	6.482847e-01	-1.300521e+01
6.407274571531503e-02	5.502061e-01	-1.300520e+01
6.426805821531502e-02	4.438519e-01	-1.300519e+01
6.446337071531501e-02	3.308217e-01	-1.300517e+01
6.465868321531500e-02	2.128156e-01	-1.300515e+01
6.485399571531499e-02	9.160858e-02	-1.300514e+01
6.514696446531497e-02	-9.220932e-02	-1.300511e+01
6.534227696531496e-02	-2.134050e-01	-1.300510e+01
6.553758946531495e-02	-3.313909e-01	-1.300508e+01
6.573290196531494e-02	-4.443924e-01	-1.300506e+01
6.592821446531492e-02	-5.507098e-01	-1.300505e+01
6.612352696531491e-02	-6.487440e-01	-1.300504e+01
6.631883946531490e-02	-7.370205e-01	-1.300502e+01
6.651415196531489e-02	-8.142115e-01	-1.300501e+01
6.670946446531488e-02	-8.791560e-01	-1.300500e+01
6.690477696531487e-02	-9.308772e-01	-1.300499e+01
6.710008946531486e-02	-9.685971e-01	-1.300495e+01
6.729540196531485e-02	-9.917485e-01	-1.300490e+01
6.749071446531484e-02	-9.999830e-01	-1.300486e+01
6.768602696531482e-02	-9.931768e-01	-1.300489e+01
6.788133946531481e-02	-9.714323e-01	-1.300495e+01
6.807665196531480e-02	-9.350767e-01	-1.300498e+01
6.827196446531479e-02	-8.846565e-01	-1.300500e+01
6.846727696531478e-02	-8.209303e-01	-1.300501e+01
6.866258946531477e-02	-7.448565e-01	-1.300502e+01
6.885790196531476e-02	-6.575795e-01	-1.300503e+01
6.905321446531475e-02	-5.604118e-01	-1.300505e+01
6.924852696531474e-02	-4.548150e-01	-1.300506e+01
6.944383946531472e-02	-3.423773e-01	-1.300508e+01
6.963915196531471e-02	-2.247900e-01	-1.300509e+01
6.983446446531470e-02	-1.038216e-01	-1.300511e+01
7.012743321531469e-02	7.998312e-02	-1.300513e+01
7.032274571531467e-02	2.014001e-01	-1.300515e+01
7.051805821531466e-02	3.197879e-01	-1.300517e+01
7.071337071531465e-02	4.333657e-01	-1.300518e+01
7.090868321531464e-02	5.404253e-01	-1.300520e+01
7.110399571531463e-02	6.393564e-01	-1.300521e+01
7.129930821531462e-02	7.286710e-01	-1.300522e+01
7.149462071531461e-02	8.070257e-01	-1.300523e+01
7.168993321531460e-02	8.732420e-01	-1.300524e+01
7.188524571531459e-02	9.263240e-01	-1.300525e+01
7.208055821531457e-02	9.654731e-01	-1.300525e+01
7.227587071531456e-02	9.901006e-01	-1.300526e+01
7.247118321531455e-02	9.998361e-01	-1.300526e+01
7.266649571531454e-02	9.945331e-01	-1.300526e+01
7.286180821531453e-02	9.742714e-01	-1.300526e+01
7.305712071531452e-02	9.393558e-01	-1.300525e+01
7.325243321531451e-02	8.903114e-01	-1.300525e+01
7.344774571531450e-02	8.278759e-01	-1.300524e+01
7.364305821531449e-02	7.529883e-01	-1.300523e+01
7.383837071531447e-02	6.667752e-01	-1.300521e+01
7.403368321531446e-02	5.705330e-01	-1.300520e+01
7.422899571531445e-02	4.657096e-01	-1.300519e+01
7.442430821531444e-02	3.538814e-01	-1.300517e+01
7.461962071531443e-02	2.367305e-01	-1.300516e+01
7.481493321531442e-02	1.160190e-01	-1.300514e+01
7.501024571531441e-02	-6.437528e-03	-1.300512e+01
7.520555821531440e-02	-1.287972e-01	-1.300511e+01
7.540087071531439e-02	-2.492197e-01	-1.300509e+01
7.559618321531437e-02	-3.658938e-01	-1.300507e+01
7.579149571531436e-02	-4.770644e-01	-1.300506e+01
7.598680821531435e-02	-5.810595e-01	-1.300504e+01
7.618212071531434e-02	-6.763149e-01	-1.300503e+01
7.637743321531433e-02	-7.613980e-01	-1.300502e+01
7.657274571531432e-02	-8.350289e-01	-1.300501e+01
7.676805821531431e-02	-8.961002e-01	-1.300500e+01
7.696337071531430e-02	-9.436933e-01	-1.300498e+01
7.715868321531429e-02	-9.770924e-01	-1.300494e+01
7.735399571531427e-02	-9.957951e-01	-1.300488e+01
7.754930821531426e-02	-9.995201e-01	-1.300487e+01
7.774462071531425e-02	-9.882115e-01	-1.300491e+01
7.793993321531424e-02	-9.620391e-01	-1.300496e+01
7.813524571531423e-02	-9.213969e-01	-1.300499e+01
7.833055821531422e-02	-8.668959e-01	-1.300500e+01
7.852587071531421e-02	-7.993560e-01	-1.300502e+01
7.872118321531420e-02	-7.197931e-01	-1.300503e+01
7.891649571531419e-02	-6.294039e-01	-1.300504e+01
7.911180821531417e-02	-5.295478e-01	-1.300505e+01
7.930712071531416e-02	-4.217268e-01	-1.300507e+01
7.950243321531415e-02	-3.075626e-01	-1.300508e+01
7.969774571531414e-02	-1.887724e-01	-1.300510e+01
7.989305821531413e-02	-6.714296e-02	-1.300511e+01
8.008837071531412e-02	5.549643e-02	-1.300513e+01
8.028368321531411e-02	1.773011e-01	-1.300515e+01
8.047899571531410e-02	2.964390e-01	-1.300516e+01
8.067430821531409e-02	4.111182e-01	-1.300518e+01
8.086962071531408e-02	5.196137e-01	-1.300519e+01
8.106493321531406e-02	6.202939e-01	-1.300521e+01
8.126024571531405e-02	7.116442e-01	-1.300522e+01
8.145555821531404e-02	7.922907e-01	-1.300523e+01
8.165087071531403e-02	8.610204e-01	-1.300524e+01
8.184618321531402e-02	9.167995e-01	-1.300525e+01
8.204149571531401e-02	9.587892e-01	-1.300525e+01
8.223680821531400e-02	9.863578e-01	-1.300526e+01
8.243212071531399e-02	9.990906e-01	-1.300526e+01
8.262743321531398e-02	9.967962e-01	-1.300526e+01
8.282274571531396e-02	9.795091e-01	-1.300526e+01
8.301805821531395e-02	9.474891e-01	-1.300525e+01
8.321337071531394e-02	9.012182e-01	-1.300525e+01
8.340868321531393e-02	8.413920e-01	-1.300524e+01
8.360399571531392e-02	7.689105e-01	-1.300523e+01
8.379930821531391e-02	6.848639e-01	-1.300522e+01
8.399462071531390e-02	5.905163e-01	-1.300520e+01
8.418993321531389e-02	4.872868e-01	-1.300519e+01
8.438524571531388e-02	3.767280e-01	-1.300518e+01
8.458055821531386e-02	2.605029e-01	-1.300516e+01
8.477587071531385e-02	1.403596e-01	-1.300514e+01
8.497118321531384e-02	1.810513e-02	-1.300513e+01
8.516649571531383e-02	-1.044216e-01	-1.300511e+01
8.536180821531382e-02	-2.253778e-01	-1.300509e+01
8.555712071531381e-02	-3.429441e-01	-1.300508e+01
8.575243321531380e-02	-4.553522e-01	-1.300506e+01
8.594774571531379e-02	-5.609114e-01	-1.300505e+01
8.614305821531378e-02	-6.580338e-01	-1.300503e+01
8.633837071531376e-02	-7.452589e-01	-1.300502e+01
8.653368321531375e-02	-8.212746e-01	-1.300501e+01
8.672899571531374e-02	-8.849376e-01	-1.300500e+01
8.692430821531373e-02	-9.352903e-01	-1.300499e+01
8.711962071531372e-02	-9.715753e-01	-1.300495e+01
8.731493321531371e-02	-9.932470e-01	-1.300489e+01
8.751024571531370e-02	-9.999793e-01	-1.300486e+01
8.770555821531369e-02	-9.916710e-01	-1.300490e+01
8.790087071531368e-02	-9.684470e-01	-1.300495e+01
8.809618321531366e-02	-9.306566e-01	-1.300499e+01
8.829149571531365e-02	-8.788683e-01	-1.300500e+01
8.848680821531364e-02	-8.138611e-01	-1.300501e+01
8.868212071531363e-02	-7.366126e-01	-1.300502e+01
8.887743321531362e-02	-6.482847e-01	-1.300504e+01
8.907274571531361e-02	-5.502061e-01	-1.300505e+01
8.926805821531360e-02	-4.438519e-01	-1.300506e+01
8.946337071531359e-02	-3.308217e-01	-1.300508e+01
8.965868321531358e-02	-2.128156e-01	-1.300510e+01
8.985399571531356e-02	-9.160858e-02	-1.300511e+01
9.014696446531355e-02	9.220932e-02	-1.300514e+01
9.034227696531354e-02	2.134050e-01	-1.300515e+01
