time	V(b)	V(vi)	V(vo)
3.321402337734857e-02	-5.748503e-01	4.505202e-01	1.243788e-05
3.340933587734857e-02	-5.730647e-01	4.205852e-01	1.196845e-05
3.360464837734858e-02	-5.707218e-01	3.843241e-01	1.143453e-05
3.379996087734858e-02	-5.677087e-01	3.422825e-01	1.079929e-05
3.399527337734858e-02	-5.638450e-01	2.950926e-01	9.997297e-06
3.419058587734859e-02	-5.588245e-01	2.434643e-01	8.899156e-06
3.438589837734859e-02	-5.520706e-01	1.881741e-01	7.207078e-06
3.458121087734859e-02	-5.422877e-01	1.300535e-01	4.044420e-06
3.467886712734859e-02	-5.352646e-01	1.002037e-01	1.017324e-06
3.477652337734859e-02	-5.251492e-01	6.997678e-02	-5.280502e-06
3.487417962734859e-02	-5.051948e-01	3.948648e-02	-2.849048e-05
3.497183587734860e-02	-4.664305e-01	8.847558e-03	-1.184385e-04
3.498404290859860e-02	-4.446409e-01	5.012984e-03	-3.457134e-04
3.500008104060554e-02	-3.511319e-01	-2.545966e-05	-1.733385e-03
3.500906994457431e-02	-2.031372e-01	-2.849392e-03	-3.676328e-03
3.501722160216075e-02	6.054373e-02	-5.410220e-03	-5.708726e-03
3.502508322229080e-02	3.785170e-01	-7.879800e-03	-2.880647e-04
3.502852004079492e-02	4.755769e-01	-8.959356e-03	8.124103e-03
3.503008829358658e-02	4.875286e-01	-9.451953e-03	1.033793e-02
3.503145551906910e-02	4.880008e-01	-9.881400e-03	1.031259e-02
3.503239187474286e-02	4.891982e-01	-1.017550e-02	1.068837e-02
3.504280227335000e-02	4.987430e-01	-1.344532e-02	1.399270e-02
3.505321267195713e-02	5.075400e-01	-1.671426e-02	1.729056e-02
3.506362307056426e-02	5.155893e-01	-1.998232e-02	2.058197e-02
3.507403346917139e-02	5.228908e-01	-2.324950e-02	2.386693e-02
3.508444386777853e-02	5.294445e-01	-2.651580e-02	2.714542e-02
3.509485426638566e-02	5.352506e-01	-2.978122e-02	3.041746e-02
3.510526466499279e-02	5.403088e-01	-3.304577e-02	3.368304e-02
3.517713777547893e-02	5.758836e-01	-5.553465e-02	5.617106e-02
3.527479402547893e-02	6.180148e-01	-8.590081e-02	8.651379e-02
3.547010652547893e-02	6.917902e-01	-1.455501e-01	1.461220e-01
3.566541902547894e-02	7.578184e-01	-2.030102e-01	2.035362e-01
3.586073152547894e-02	8.183501e-01	-2.574168e-01	2.578991e-01
3.605604402547894e-02	8.734945e-01	-3.079517e-01	3.083942e-01
3.625135652547894e-02	9.229632e-01	-3.538546e-01	3.542624e-01
3.644666902547895e-02	9.663266e-01	-3.944353e-01	3.948140e-01
3.664198152547895e-02	1.003132e+00	-4.290832e-01	4.294394e-01
3.683729402547895e-02	1.032957e+00	-4.572774e-01	4.576176e-01
3.703260652547895e-02	1.055444e+00	-4.785937e-01	4.789250e-01
3.722791902547896e-02	1.070312e+00	-4.927115e-01	4.930411e-01
3.742323152547896e-02	1.077375e+00	-4.994185e-01	4.997537e-01
3.761854402547896e-02	1.076542e+00	-4.986137e-01	4.989617e-01
3.781385652547897e-02	1.067823e+00	-4.903093e-01	4.906771e-01
3.800916902547897e-02	1.051330e+00	-4.746302e-01	4.750246e-01
3.820448152547897e-02	1.027270e+00	-4.518123e-01	4.522397e-01
3.839979402547897e-02	9.959417e-01	-4.221986e-01	4.226649e-01
3.859510652547898e-02	9.577180e-01	-3.862347e-01	3.867454e-01
3.879041902547898e-02	9.130303e-01	-3.444615e-01	3.450214e-01
3.898573152547898e-02	8.623324e-01	-2.975073e-01	2.981206e-01
3.918104402547899e-02	8.060367e-01	-2.460782e-01	2.467487e-01
3.937635652547899e-02	7.443690e-01	-1.909479e-01	1.916790e-01
3.957166902547899e-02	6.769513e-01	-1.329456e-01	1.337414e-01
3.976698152547899e-02	6.008092e-01	-7.294366e-02	7.381554e-02
3.986463777547899e-02	5.533643e-01	-4.247405e-02	4.340980e-02
3.996229402547900e-02	4.933935e-01	-1.184457e-02	1.291872e-02
3.997450105672900e-02	4.785120e-01	-8.010386e-03	9.212336e-03
3.999891511922900e-02	4.310401e-01	-3.408253e-04	2.132946e-03
