time	V(n001)	V(n002)	V(n003)
3.790516370778604e-05	-4.104983e-01	3.188200e-01	-4.838856e-01
3.810047620778605e-05	-3.835078e-01	4.253708e-01	-4.648331e-01
3.829578870778605e-05	-3.501665e-01	5.319302e-01	-4.387892e-01
3.849110120778606e-05	-3.108304e-01	6.384968e-01	-4.061454e-01
3.868641370778606e-05	-2.659461e-01	7.450646e-01	-3.673928e-01
3.888172620778607e-05	-2.160473e-01	8.515953e-01	-3.231143e-01
3.897938245778607e-05	-1.894108e-01	9.047846e-01	-2.991080e-01
3.907703870778607e-05	-1.617738e-01	9.577821e-01	-2.739759e-01
3.917469495778608e-05	-1.332634e-01	1.010224e+00	-2.478126e-01
3.927235120778608e-05	-1.040730e-01	1.061160e+00	-2.207166e-01
3.937000745778608e-05	-7.450782e-02	1.108526e+00	-1.927898e-01
3.946766370778608e-05	-4.499386e-02	1.148840e+00	-1.641375e-01
3.956531995778609e-05	-1.600693e-02	1.177778e+00	-1.348674e-01
3.966297620778609e-05	1.205396e-02	1.191634e+00	-1.050896e-01
3.976063245778609e-05	3.898751e-02	1.188919e+00	-7.491635e-02
3.985342061021842e-05	6.350429e-02	1.171346e+00	-4.598420e-02
3.995107686021842e-05	8.833294e-02	1.139806e+00	-1.536724e-02
4.004873311021843e-05	1.124104e-01	1.098912e+00	1.530757e-02
4.024404561021843e-05	1.589939e-01	1.001805e+00	7.636909e-02
4.043935811021844e-05	2.038952e-01	8.972531e-01	1.362820e-01
4.063467061021844e-05	2.467944e-01	7.910787e-01	1.941450e-01
4.082998311021845e-05	2.870132e-01	6.845802e-01	2.490879e-01
4.102529561021845e-05	3.238223e-01	5.780007e-01	3.002844e-01
4.112295186021846e-05	3.407286e-01	5.246965e-01	3.242345e-01
4.122060811021846e-05	3.565260e-01	4.713849e-01	3.469642e-01
4.131826436021846e-05	3.711367e-01	4.180669e-01	3.683881e-01
4.141592061021847e-05	3.844876e-01	3.647427e-01	3.884254e-01
4.151357686021847e-05	3.965101e-01	3.114127e-01	4.070008e-01
4.161123311021847e-05	4.071409e-01	2.580773e-01	4.240444e-01
4.170888936021847e-05	4.163217e-01	2.047368e-01	4.394919e-01
4.190420186021848e-05	4.301278e-01	9.804196e-02	4.653726e-01
4.209951436021848e-05	4.375752e-01	-8.669019e-03	4.842536e-01
4.229482686021849e-05	4.384062e-01	-1.153929e-01	4.958510e-01
4.249013936021850e-05	4.324628e-01	-2.221262e-01	4.999904e-01
4.268545186021850e-05	4.196886e-01	-3.288653e-01	4.966094e-01
4.288076436021851e-05	4.001303e-01	-4.356061e-01	4.857590e-01
4.307607686021851e-05	3.739364e-01	-5.423447e-01	4.676023e-01
4.327138936021852e-05	3.413554e-01	-6.490768e-01	4.424125e-01
4.346670186021852e-05	3.027319e-01	-7.557970e-01	4.105683e-01
4.366201436021853e-05	2.585020e-01	-8.624943e-01	3.725488e-01
4.375967061021853e-05	2.344451e-01	-9.158230e-01	3.513986e-01
4.385732686021854e-05	2.091909e-01	-9.691162e-01	3.289258e-01
4.395498311021854e-05	1.828225e-01	-1.022319e+00	3.052151e-01
4.405263936021854e-05	1.554391e-01	-1.075271e+00	2.803555e-01
4.415029561021854e-05	1.271757e-01	-1.127528e+00	2.544408e-01
4.424795186021855e-05	9.824142e-02	-1.177974e+00	2.275684e-01
4.434560811021855e-05	6.896150e-02	-1.224308e+00	1.998395e-01
4.444326436021855e-05	3.977388e-02	-1.262860e+00	1.713584e-01
4.454092061021855e-05	1.114453e-02	-1.289349e+00	1.422324e-01
